Date,SIM
1990/1/2,0.353846154
1990/1/3,0.361538462
1990/1/4,0.369230769
1990/1/5,0.376923077
1990/1/8,0.384615385
1990/1/9,0.392307692
1990/1/10,0.4
1990/1/11,0.407692308
1990/1/12,0.415384615
1990/1/15,0.423076923
1990/1/16,0.430769231
1990/1/17,0.438461538
1990/1/18,0.446153846
1990/1/19,0.453846154
1990/1/22,0.461538462
1990/1/23,0.469230769
1990/1/24,0.476923077
1990/1/25,0.484615385
1990/1/26,0.492307692
1990/1/29,0.5
1990/1/30,0.507692308
1990/1/31,0.515384615
1990/2/1,0.523076923
1990/2/2,0.530769231
1990/2/5,0.538461538
1990/2/6,0.546153846
1990/2/7,0.553846154
1990/2/8,0.561538462
1990/2/9,0.569230769
1990/2/12,0.576923077
1990/2/13,0.584615385
1990/2/14,0.592307692
1990/2/15,0.6
1990/2/16,0.607692308
1990/2/20,0.615384615
1990/2/21,0.623076923
1990/2/22,0.630769231
1990/2/23,0.638461538
1990/2/26,0.646153846
1990/2/27,0.653846154
1990/2/28,0.661538462
1990/3/1,0.669230769
1990/3/2,0.676923077
1990/3/5,0.684615385
1990/3/6,0.692307692
1990/3/7,0.7
1990/3/8,0.707692308
1990/3/9,0.715384615
1990/3/12,0.723076923
1990/3/13,0.730769231
1990/3/14,0.738461538
1990/3/15,0.746153846
1990/3/16,0.753846154
1990/3/19,0.761538462
1990/3/20,0.769230769
1990/3/21,0.776923077
1990/3/22,0.784615385
1990/3/23,0.792307692
1990/3/26,0.8
1990/3/27,0.807692308
1990/3/28,0.815384615
1990/3/29,0.823076923
1990/3/30,0.830769231
1990/4/2,0.838461538
1990/4/3,0.846153846
1990/4/4,0.853846154
1990/4/5,0.861538462
1990/4/6,0.869230769
1990/4/9,0.876923077
1990/4/10,0.884615385
1990/4/11,0.892307692
1990/4/12,0.9
1990/4/16,0.907692308
1990/4/17,0.915384615
1990/4/18,0.923076923
1990/4/19,0.923076923
1990/4/20,0.923076923
1990/4/23,0.923076923
1990/4/24,0.923076923
1990/4/25,0.923076923
1990/4/26,0.923076923
1990/4/27,0.923076923
1990/4/30,0.923076923
1990/5/1,0.923076923
1990/5/2,0.915384615
1990/5/3,0.907692308
1990/5/4,0.9
1990/5/7,0.892307692
1990/5/8,0.884615385
1990/5/9,0.876923077
1990/5/10,0.869230769
1990/5/11,0.861538462
1990/5/14,0.853846154
1990/5/15,0.846153846
1990/5/16,0.838461538
1990/5/17,0.830769231
1990/5/18,0.823076923
1990/5/21,0.815384615
1990/5/22,0.807692308
1990/5/23,0.8
1990/5/24,0.792307692
1990/5/25,0.784615385
1990/5/29,0.776923077
1990/5/30,0.769230769
1990/5/31,0.761538462
1990/6/1,0.753846154
1990/6/4,0.746153846
1990/6/5,0.738461538
1990/6/6,0.730769231
1990/6/7,0.723076923
1990/6/8,0.715384615
1990/6/11,0.707692308
1990/6/12,0.7
1990/6/13,0.692307692
1990/6/14,0.684615385
1990/6/15,0.676923077
1990/6/18,0.669230769
1990/6/19,0.661538462
1990/6/20,0.653846154
1990/6/21,0.646153846
1990/6/22,0.638461538
1990/6/25,0.630769231
1990/6/26,0.623076923
1990/6/27,0.615384615
1990/6/28,0.607692308
1990/6/29,0.6
1990/7/2,0.592307692
1990/7/3,0.584615385
1990/7/5,0.576923077
1990/7/6,0.569230769
1990/7/9,0.561538462
1990/7/10,0.553846154
1990/7/11,0.546153846
1990/7/12,0.538461538
1990/7/13,0.530769231
1990/7/16,0.523076923
1990/7/17,0.515384615
1990/7/18,0.507692308
1990/7/19,0.5
1990/7/20,0.492307692
1990/7/23,0.484615385
1990/7/24,0.476923077
1990/7/25,0.469230769
1990/7/26,0.461538462
1990/7/27,0.453846154
1990/7/30,0.446153846
1990/7/31,0.438461538
1990/8/1,0.430769231
1990/8/2,0.423076923
1990/8/3,0.415384615
1990/8/6,0.407692308
1990/8/7,0.4
1990/8/8,0.392307692
1990/8/9,0.384615385
1990/8/10,0.376923077
1990/8/13,0.369230769
1990/8/14,0.361538462
1990/8/15,0.353846154
1990/8/16,0.346153846
1990/8/17,0.338461538
1990/8/20,0.330769231
1990/8/21,0.323076923
1990/8/22,0.315384615
1990/8/23,0.307692308
1990/8/24,0.3
1990/8/27,0.292307692
1990/8/28,0.284615385
1990/8/29,0.276923077
1990/8/30,0.269230769
1990/8/31,0.261538462
1990/9/4,0.253846154
1990/9/5,0.246153846
1990/9/6,0.238461538
1990/9/7,0.230769231
1990/9/10,0.223076923
1990/9/11,0.215384615
1990/9/12,0.207692308
1990/9/13,0.2
1990/9/14,0.192307692
1990/9/17,0.184615385
1990/9/18,0.176923077
1990/9/19,0.169230769
1990/9/20,0.161538462
1990/9/21,0.153846154
1990/9/24,0.146153846
1990/9/25,0.138461538
1990/9/26,0.130769231
1990/9/27,0.123076923
1990/9/28,0.115384615
1990/10/1,0.107692308
1990/10/2,0.1
1990/10/3,0.092307692
1990/10/4,0.084615385
1990/10/5,0.076923077
1990/10/8,0.069230769
1990/10/9,0.061538462
1990/10/10,0.053846154
1990/10/11,0.046153846
1990/10/12,0.038461538
1990/10/15,0.030769231
1990/10/16,0.023076923
1990/10/17,0.015384615
1990/10/18,0.007692308
1990/10/19,0
1990/10/22,0
1990/10/23,0
1990/10/24,0
1990/10/25,0
