Date,CAY
1952/1/1,0.017232113
1952/4/1,0.025854689
1952/7/1,0.01702452
1952/10/1,0.027166851
1953/1/1,0.026898049
1953/4/1,0.02176341
1953/7/1,0.020950464
1953/10/1,0.017189647
1954/1/1,0.022104779
1954/4/1,0.02679775
1954/7/1,0.027042843
1954/10/1,0.027365619
1955/1/1,0.037264186
1955/4/1,0.029752105
1955/7/1,0.022250887
1955/10/1,0.020941897
1956/1/1,0.008384694
1956/4/1,0.002063792
1956/7/1,0.002019982
1956/10/1,-0.000818847
1957/1/1,0.003980121
1957/4/1,-0.003118391
1957/7/1,0.005864763
1957/10/1,0.008331366
1958/1/1,0.006185101
1958/4/1,0.005187374
1958/7/1,-0.00594747
1958/10/1,-0.008171921
1959/1/1,0.000743971
1959/4/1,-0.000104943
1959/7/1,0.014344958
1959/10/1,0.007683416
1960/1/1,0.005315644
1960/4/1,0.011620888
1960/7/1,0.009599712
1960/10/1,0.006254625
1961/1/1,-0.005968794
1961/4/1,-0.006964208
1961/7/1,-0.014424305
1961/10/1,-0.014124123
1962/1/1,-0.011650557
1962/4/1,0.00509819
1962/7/1,0.006121899
1962/10/1,0.00203186
1963/1/1,-0.003198428
1963/4/1,-0.005273745
1963/7/1,-0.002592428
1963/10/1,-0.003228045
1964/1/1,-0.002578773
1964/4/1,-0.009801151
1964/7/1,-0.005567554
1964/10/1,-0.014550476
1965/1/1,-0.004473311
1965/4/1,0.00040836
1965/7/1,-0.011264656
1965/10/1,-0.00663534
1966/1/1,0.00594202
1966/4/1,-0.000924451
1966/7/1,0.003577592
1966/10/1,-0.009957403
1967/1/1,-0.024304795
1967/4/1,-0.020365178
1967/7/1,-0.028003643
1967/10/1,-0.034730764
1968/1/1,-0.023543065
1968/4/1,-0.031971886
1968/7/1,-0.018697554
1968/10/1,-0.031971059
1969/1/1,-0.021079859
1969/4/1,-0.019690042
1969/7/1,-0.029709871
1969/10/1,-0.025955239
1970/1/1,-0.025739142
1970/4/1,-0.024175995
1970/7/1,-0.029911921
1970/10/1,-0.034969498
1971/1/1,-0.040106074
1971/4/1,-0.045869565
1971/7/1,-0.042576698
1971/10/1,-0.039610692
1972/1/1,-0.040033616
1972/4/1,-0.032529496
1972/7/1,-0.030545502
1972/10/1,-0.046460228
1973/1/1,-0.033161793
1973/4/1,-0.034401564
1973/7/1,-0.036686331
1973/10/1,-0.034881908
1974/1/1,-0.028090141
1974/4/1,-0.015395617
1974/7/1,-0.001213014
1974/10/1,-0.014918474
1975/1/1,-0.014816808
1975/4/1,-0.043240764
1975/7/1,-0.011559843
1975/10/1,-0.010582012
1976/1/1,-0.008227112
1976/4/1,-0.008917914
1976/7/1,-0.004695872
1976/10/1,0.001408294
1977/1/1,0.012072654
1977/4/1,0.005957462
1977/7/1,0.003264976
1977/10/1,0.006893137
1978/1/1,0.006204809
1978/4/1,0.015049532
1978/7/1,0.008277356
1978/10/1,0.008147051
1979/1/1,0.002617748
1979/4/1,0.004949594
1979/7/1,0.006788815
1979/10/1,0.005658496
1980/1/1,0.006223403
1980/4/1,-0.013003656
1980/7/1,-0.016327634
1980/10/1,-0.011803257
